inequality tolerance,utilities,usw alloc u,usw alloc v,nsw alloc u,nsw alloc v,maxmin alloc u,maxmin alloc v,usw u,usw v,nsw u,nsw v,maxmin u,maxmin v,usw PoI,nsw PoI,maxmin PoI
0.3,"[[array([0.32373425, 0.58027679, 0.09598896]), array([0.48913449, 0.25821968, 0.25264584])]]","[array([[0., 1., 0.],
       [1., 0., 1.]])]","[array([[ 0.19868341,  1.        ,  0.        ],
       [ 0.80131659, -0.        ,  1.        ]])]","[array([[0., 1., 0.],
       [1., 0., 1.]])]","[array([[ 0.19868341,  1.        ,  0.        ],
       [ 0.80131659, -0.        ,  1.        ]])]","[array([[0.19868341, 1.        , 0.        ],
       [0.80131659, 0.        , 1.        ]])]","[array([[0.19868341, 1.        , 0.        ],
       [0.80131659, 0.        , 1.        ]])]",1.3220571057989479,1.2891948240761315,0.4304378994829963,0.4155058232972791,0.6445974110989684,0.6445974111660701,0.9751430694039824,0.9653095691535241,1.0000000001040985
0.3,"[[array([0.65748317, 0.2845544 , 0.05796243]), array([0.45694826, 0.084097  , 0.45895473])]]","[array([[1., 1., 0.],
       [0., 0., 1.]])]","[array([[ 0.56652081,  1.        , -0.        ],
       [ 0.43347919, -0.        ,  1.        ]])]","[array([[0.78579718, 0.99999999, 0.        ],
       [0.21420282, 0.        , 1.        ]])]","[array([[0.56652081, 1.        , 0.        ],
       [0.43347919, 0.        , 1.        ]])]","[array([[0.56652081, 1.        , 0.        ],
       [0.43347919, 0.        , 1.        ]])]","[array([[0.56652081, 1.        , 0.        ],
       [0.43347919, 0.        , 1.        ]])]",1.4009923030815898,1.3140645938055093,0.44613724187822423,0.43169143868623844,0.6570322968485253,0.6570322968650125,0.9379527574242368,0.9676202705446212,1.0000000000250935
0.3,"[[array([0.15621178, 0.51850702, 0.3252812 ]), array([0.04972554, 0.53874264, 0.41153181])]]","[array([[0.99999999, 0.00000008, 0.        ],
       [0.00000001, 0.99999991, 1.        ]])]","[array([[ 1.        ,  0.75106449, -0.        ],
       [-0.        ,  0.24893551,  1.        ]])]","[array([[0.99999999, 0.73130121, 0.00000001],
       [0.        , 0.26869879, 0.99999999]])]","[array([[1.        , 0.75106448, 0.        ],
       [0.        , 0.24893552, 1.        ]])]","[array([[1.        , 0.75106448, 0.        ],
       [0.        , 0.24893552, 1.        ]])]","[array([[1.        , 0.75106448, 0.        ],
       [0.        , 0.24893551, 1.        ]])]",1.1064862356006082,1.0912879818381571,0.2978364715344092,0.29772736407976136,0.5456439905960705,0.5456439906136521,0.9862643987123786,0.9996336665751991,1.0000000000322218
0.3,"[[array([0.31519649, 0.1155764 , 0.56922711]), array([0.20105868, 0.25273724, 0.54620409])]]","[array([[1.        , 0.        , 0.99999996],
       [0.        , 1.        , 0.00000004]])]","[array([[ 1.        , -0.        ,  0.43368415],
       [-0.        ,  1.        ,  0.56631585]])]","[array([[0.99999999, 0.00000001, 0.45449429],
       [0.00000001, 0.99999999, 0.54550571]])]","[array([[1.        , 0.        , 0.43368415],
       [0.        , 1.        , 0.56631585]])]","[array([[1.        , 0.        , 0.43368415],
       [0.        , 1.        , 0.56631585]])]","[array([[1.        , 0.        , 0.43368415],
       [0.        , 1.        , 0.56631585]])]",1.1371608340688346,1.124122534409155,0.31604751096853667,0.31591286772980137,0.5620612667381989,0.562061266858944,0.9885343398496871,0.999573977854397,1.0000000002148255
0.3,"[[array([0.23106821, 0.32607099, 0.4428608 ]), array([0.53590383, 0.23846616, 0.22563002])]]","[array([[0.        , 0.99999999, 1.        ],
       [1.        , 0.        , 0.        ]])]","[array([[-0.        ,  0.58722298,  1.        ],
       [ 1.        ,  0.41277702,  0.        ]])]","[array([[0.        , 0.94456138, 1.        ],
       [1.        , 0.05543862, 0.        ]])]","[array([[0.        , 0.58722298, 1.        ],
       [1.        , 0.41277702, 0.        ]])]","[array([[0.        , 0.58722298, 1.        ],
       [1.        , 0.41277702, 0.        ]])]","[array([[0.        , 0.58722298, 1.        ],
       [1.        , 0.41277702, 0.        ]])]",1.3048356110677783,1.2686743529315518,0.4123124694871466,0.40238365303807344,0.6343371760505548,0.6343371760701775,0.9722867326508395,0.9759191943396155,1.0000000000309341
0.3,"[[array([0.3667855 , 0.37961742, 0.25359708]), array([0.21063843, 0.42064855, 0.36871302])]]","[array([[1.        , 0.00000004, 0.        ],
       [0.        , 0.99999995, 1.        ]])]","[array([[ 1.        ,  0.52804454, -0.        ],
       [-0.        ,  0.47195546,  1.        ]])]","[array([[1.        , 0.45516844, 0.        ],
       [0.        , 0.54483156, 1.        ]])]","[array([[1.        , 0.52804453, 0.        ],
       [0.        , 0.47195547, 1.        ]])]","[array([[0.99999999, 0.52804451, 0.00000003],
       [0.        , 0.47195548, 0.99999997]])]","[array([[1.        , 0.52804452, 0.00000002],
       [0.        , 0.47195548, 0.99999998]])]",1.156147065537386,1.1344808078174773,0.3226097530274429,0.3217616752145887,0.5672404000806942,0.5672404014244666,0.9812599466229341,0.9973711959886655,1.0000000023689646
0.3,"[[array([0.02277139, 0.68581876, 0.29140984]), array([0.50387158, 0.29621431, 0.19991411])]]","[array([[0.        , 1.        , 0.99999999],
       [1.        , 0.        , 0.        ]])]","[array([[ 0.        ,  1.        ,  0.03656839],
       [ 1.        , -0.        ,  0.96343161]])]","[array([[0.        , 1.        , 0.5834947 ],
       [1.        , 0.        , 0.41650529]])]","[array([[-0.        ,  1.        ,  0.03656839],
       [ 1.        ,  0.        ,  0.96343161]])]","[array([[0.        , 1.        , 0.03656839],
       [1.        , 0.        , 0.96343161]])]","[array([[0.        , 1.        , 0.03656839],
       [1.        , 0.        , 0.96343161]])]",1.481100180636402,1.3929503008919584,0.5025039386967596,0.4850776348609294,0.6964751503584412,0.6964751503929786,0.9404835129339009,0.9653210602069604,1.0000000000495888
0.3,"[[array([0.12009429, 0.48420365, 0.39570206]), array([0.6676388 , 0.12870443, 0.20365678])]]","[array([[0., 1., 1.],
       [1., 0., 0.]])]","[array([[-0.        ,  1.        ,  0.64584336],
       [ 1.        ,  0.        ,  0.35415664]])]","[array([[0.        , 1.        , 0.99999999],
       [1.        , 0.        , 0.00000001]])]","[array([[-0.        ,  1.        ,  0.64584336],
       [ 1.        ,  0.        ,  0.35415664]])]","[array([[0.        , 1.        , 0.64584336],
       [1.        , 0.        , 0.35415664]])]","[array([[0.        , 1.        , 0.64584336],
       [1.        , 0.        , 0.35415663]])]",1.5475445030728392,1.4795303913508615,0.5874591849186952,0.5472525445538602,0.7397651943364193,0.7397651943891405,0.9560503031822818,0.9315584105295763,1.0000000000712674
0.3,"[[array([0.34724626, 0.19361398, 0.45913976]), array([0.46030258, 0.21038799, 0.32930943])]]","[array([[0., 0., 1.],
       [1., 1., 0.]])]","[array([[ 0.        ,  0.52363807,  1.        ],
       [ 1.        ,  0.47636193, -0.        ]])]","[array([[0.00000001, 0.40822814, 1.        ],
       [0.99999999, 0.59177185, 0.        ]])]","[array([[0.        , 0.52363806, 1.        ],
       [1.        , 0.47636194, 0.        ]])]","[array([[0.        , 0.52363806, 1.        ],
       [1.        , 0.47636194, 0.        ]])]","[array([[0.        , 0.52363806, 1.        ],
       [1.        , 0.47636194, 0.        ]])]",1.1298303316890763,1.1210468204025563,0.3147290465908925,0.31418649293333295,0.5605234101443323,0.5605234101574044,0.9922258138765059,0.9982761246111967,1.0000000000233213
0.3,"[[array([0.3275331 , 0.31476034, 0.35770656]), array([0.0994265 , 0.28077951, 0.61979399])]]","[array([[1.        , 0.99999993, 0.        ],
       [0.        , 0.00000007, 1.        ]])]","[array([[1.        , 0.96222007, 0.        ],
       [0.        , 0.03777993, 1.        ]])]","[array([[1.        , 0.99999998, 0.        ],
       [0.        , 0.00000002, 1.        ]])]","[array([[1.        , 0.96222007, 0.        ],
       [0.        , 0.03777992, 1.        ]])]","[array([[1.        , 0.96222007, 0.        ],
       [0.        , 0.03777993, 1.        ]])]","[array([[1.        , 0.96222007, 0.        ],
       [0.        , 0.03777993, 1.        ]])]",1.2620874237500213,1.2608036360487513,0.39808961219634,0.39740645149015696,0.6304018170362893,0.6304018171751979,0.9989828060425042,0.998283902203793,1.0000000002203493
